"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros %","+/-","GP","MIN","FGA","FG%","3PTM","3PT%","FTA","FT%","PTS","REB","AST","ST","BLK","TO","PF"
"*051pw*","Jalen McDaniels","CHA","SF","111","FA","","57.62","27%","+26.9%","2","24.9","6.0",".583","2.5",".833","0.0","0","9.5","5.0","2.0","0.5","1.0","0.5","2.0"
"*02nf8*","Terrence Ross","ORL","SG,SF","112","FA","BOS<br/>Sat 7:00PM","57.43","18%","+17.8%","2","33.6","10.0",".450","2.0",".333","1.5",".667","12.0","4.0","1.5","0.5","0.5","0.5","3.0"
"*031lv*","Kentavious Caldwell-Pope","DEN","SG,SF","113","FA","OKC<br/>Sat 9:00PM","57.42","60%","+60.4%","2","33.9","8.5",".412","1.5",".375","1.0","1.000","9.5","4.0","3.5","2.0","0.5","1.5","2.5"
"*005kf*","Eric Gordon","HOU","SG,SF","114","FA","@MIL<br/>Sat 8:00PM","57.16","23%","+23%","2","32.5","10.5",".429","1.5",".333","4.5",".778","14.0","2.5","4.0","0.0","0.0","2.5","2.0"
"*0621c*","Jalen Duren","DET","C","115","FA","@IND<br/>Sat 7:00PM","56.99","82%","+82.4%","2","22.2","10.5",".524","0.0",".000","2.5",".000","11.0","10.0","0.5","0.5","1.5","2.0","2.0"
"*0484l*","Damion Lee","PHO","SG","116","FA","","56.81","11%","+11.4%","2","25.3","7.0",".429","2.5",".556","1.5",".667","9.5","4.0","2.5","1.0","0.0","0.0","3.5"
"*04exe*","Monte Morris","WAS","PG","117","CHI-VAN","","56.52","87%","+87.4%","2","23.9","7.0",".429","1.0",".500","1.0","1.000","8.0","5.0","4.5","1.5","0.5","0.5","0.5"
"*051oq*","Cam Reddish","NY","SG,SF","118","FA","","55.76","54%","+54.1%","2","23.3","11.5",".522","1.5",".375","0.5","1.000","14.0","4.5","0.0","1.5","0.5","2.0","2.5"
"*031m9*","Mason Plumlee","CHA","C","119","FA","","55.15","50%","+49.7%","2","20.6","7.0",".643","0.0","0","1.0","1.000","10.0","6.0","4.0","0.0","0.5","1.0","3.5"
"*031lz*","Steven Adams","MEM","C","120","FA","@DAL<br/>Sat 8:30PM","55.03","89%","+88.9%","2","32.9","3.0",".667","0.0","0","3.0",".167","4.5","11.5","2.5","0.5","1.5","0.5","3.0"
"*03r7u*","Josh Richardson","SA","SG,SF,PF","121","FA","@PHI<br/>Sat 6:00PM","54.99","25%","+24.7%","2","22.7","8.0",".500","3.0",".545","2.5","1.000","13.5","2.0","1.0","0.5","0.0","2.5","2.0"
"*051or*","Cameron Johnson","PHO","SF,PF","122","MPJ","","54.85","92%","+92.2%","2","24.8","11.0",".364","2.0",".333","0.0","0","10.0","3.0","1.0","1.0","1.0","1.0","1.5"
"*051p8*","Jordan Poole","GS","PG,SG","123","REIM","","54.78","100%","+99.7%","2","27.8","10.0",".300","1.0",".182","3.0",".833","9.5","1.5","7.0","2.5","0.0","4.0","1.0"
